,"市盈率PE(TTM)
[单位] 倍",,,,,,,,,
时间,全指公用,全指能源,全指材料,全指工业,全指可选,全指消费,全指医药,全指金融,全指信息,全指电信
2018/8/31,19.1697,16.8315,14.9694,18.0346,17.2118,26.4152,29.0308,7.9643,35.1466,72.2889
2018/8/30,19.5189,17.7958,15.1591,18.052,17.62,26.8008,29.5814,7.9457,35.6489,53.6901
2018/8/29,19.5223,17.8718,15.6789,18.2123,17.6732,27.0896,29.9366,8.0419,36.3181,55.8115
2018/8/28,19.7725,17.8802,15.8279,18.2302,17.8309,27.1837,30.3195,8.121,36.2161,56.4236
2018/8/27,19.743,17.8964,16.0984,18.2801,17.708,27.6218,30.2269,8.1514,36.0794,55.9684
2018/8/24,19.6062,18.7069,15.8834,18.0533,17.3392,26.7188,29.2965,8.048,34.3073,54.3063
2018/8/23,19.6083,18.6241,16.0828,18.1048,17.3489,26.6984,29.2832,7.941,34.6238,55.2485
2018/8/22,19.6252,18.5723,16.3592,18.0611,17.3792,26.5912,29.3726,7.9226,34.3574,54.2845
2018/8/21,19.8462,18.9263,16.5199,18.2775,17.5869,26.8459,29.6707,7.9937,34.9454,55.095
2018/8/20,19.8045,18.9157,16.4668,18.0363,17.3777,25.9364,28.7722,7.9216,34.7406,54.5122
2018/8/17,19.565,18.6112,16.3186,18.0159,17.3451,25.9396,29.128,7.7873,34.1954,52.8935
2018/8/16,19.6597,18.6513,16.7365,18.3619,17.6386,26.4359,30.0511,7.8449,34.9387,53.879
2018/8/15,20.0389,18.9324,17.054,18.58,17.8579,27.1089,30.207,7.8195,35.2664,55.9027
2018/8/14,20.4293,19.2238,17.5187,18.9128,18.2555,27.5424,31.2616,7.9798,36.205,57.0709
2018/8/13,20.4211,19.0669,17.5935,18.9871,18.3091,27.4996,31.462,8.0022,36.6057,57.1112
2018/8/10,20.4555,19.147,17.5658,18.9918,18.3161,27.7176,31.2301,8.1192,36.0749,55.951
2018/8/9,20.7292,19.3175,17.6793,18.9661,18.2156,27.6089,30.7181,8.1491,35.6027,55.6037
2018/8/8,20.4796,19.2929,17.3865,18.6446,17.8398,26.9151,29.7526,8.006,34.0737,53.4926
2018/8/7,20.574,19.199,17.5643,18.8968,18.2283,27.3814,30.4829,8.1234,34.9523,54.4207
2018/8/6,20.3253,18.4216,17.0212,18.3148,17.8055,26.7353,29.8294,7.9446,33.9742,52.7807
2018/8/3,20.6678,18.5343,17.4574,18.6064,18.1253,27.4782,30.9347,7.9391,34.6029,53.4399
2018/8/2,20.6364,18.3783,17.7533,18.8841,18.5334,28.0498,31.7838,7.9436,35.5366,54.49
2018/8/1,20.8902,18.6049,18.0487,19.2732,19.1321,29.3352,32.0012,8.1328,36.6437,55.7643
2018/7/31,21.3911,19.0174,18.3668,19.5419,19.4553,29.9053,32.5432,8.3291,37.253,56.4204
2018/7/30,21.4154,18.7976,18.5171,19.5924,19.9015,29.7632,32.7059,8.2767,37.3847,56.679
2018/7/27,21.2091,18.776,18.4339,19.6726,20.1024,30.3968,33.5434,8.2188,38.0516,37.6147
2018/7/26,21.3438,18.7274,18.4899,19.783,20.2866,30.2375,33.798,8.241,38.4347,37.7227
2018/7/25,21.1393,18.7365,18.6686,19.8742,20.4024,30.5385,34.1019,8.3209,39.14,38.6322
2018/7/24,21.2439,18.725,18.7041,19.9393,20.3858,30.6398,33.7756,8.3293,39.146,38.9591
2018/7/23,21.2705,18.3759,18.2465,19.4536,20.0833,30.033,33.3518,8.2687,38.8283,38.4532
2018/7/20,21.168,18.1011,17.9298,19.0426,20.0168,30.2306,34.721,8.1343,38.4029,37.7149
2018/7/19,20.7166,17.8269,17.741,18.8582,19.9045,30.1212,34.3748,7.802,37.8182,37.419
2018/7/18,20.7589,17.8557,17.7899,19.0406,20.0113,30.3003,35.0332,7.8171,38.1189,37.3454
2018/7/17,20.3052,17.9084,17.9145,19.141,20.0857,30.5187,35.2027,7.8447,38.4889,37.8573
2018/7/16,20.3427,18.2921,17.9278,19.1418,20.2444,30.7773,35.6555,7.9206,38.4177,37.3966
2018/7/13,20.3381,18.3563,18.055,19.1776,20.3161,30.7182,35.6439,8.065,38.2082,36.6824
2018/7/12,20.3815,18.4498,17.9008,19.2009,20.1409,30.2535,35.0373,8.1695,38.0628,36.5228
2018/7/11,20.1122,18.3076,17.5427,18.7589,19.6744,29.5475,34.1645,7.9902,36.6011,34.8302
2018/7/10,20.4208,18.7514,17.8201,19.1703,20.0258,29.8962,34.4471,8.1164,37.7925,35.9905
2018/7/9,20.3953,18.5571,17.5601,19.0254,19.9619,29.8716,34.1296,8.1327,37.5279,35.7472
2018/7/6,20.15,18.2628,17.092,18.6882,19.5453,29.0467,33.0035,7.8624,36.5262,34.9802
2018/7/5,20.2014,18.2636,17.0479,18.7045,19.4557,28.8014,32.9501,7.8012,36.3474,34.7667
2018/7/4,20.3976,18.3863,17.5667,19.0649,19.726,29.0183,33.8292,7.768,37.2693,35.8664
2018/7/3,20.3103,18.4759,17.7601,19.3159,20.0755,29.2779,34.5145,7.7675,38.3596,36.509
2018/7/2,20.0921,18.4884,17.6411,19.2017,20.1152,29.7771,34.6766,7.6977,37.5139,35.35
2018/6/29,20.2832,19.0548,17.9922,19.5422,20.5999,30.2281,34.7804,8.0201,38.1262,35.9108
2018/6/28,20.0516,18.915,17.545,19.1331,20.0086,29.3782,33.5655,7.8621,36.3971,34.8609
2018/6/27,20.2013,18.6929,17.7744,19.3448,20.3174,30.0057,34.0807,7.9425,36.6604,34.9037
2018/6/26,20.2774,18.3804,17.9632,19.4872,20.6426,31.0865,34.938,8.0787,36.9579,35.2842
2018/6/25,20.3904,18.536,18.0162,19.46,20.6683,31.3216,34.9045,8.2066,36.0761,34.7996
2018/6/22,20.4899,18.6683,18.1901,19.6355,20.7448,31.2078,34.9734,8.3847,36.3972,35.3472
2018/6/21,20.7133,18.6935,17.9218,19.4361,20.6191,31.0363,34.6227,8.3651,35.7847,35.1345
2018/6/20,20.936,18.8256,18.1336,19.8307,20.9577,31.4438,34.888,8.4399,37.3673,36.474
2018/6/19,20.8617,18.8749,18.0252,19.7077,20.8209,30.7108,34.0684,8.4976,37.0134,36.7267
2018/6/15,21.8138,19.4879,19.2204,20.754,21.8636,32.1104,35.495,8.6632,39.7137,39.7793
2018/6/14,21.9011,19.4445,19.5064,21.0561,22.2206,32.6054,36.1875,8.6207,40.6332,41.1722
2018/6/13,21.8772,19.4771,19.5167,21.1381,22.3644,33.032,36.4166,8.5842,40.8233,41.8963
2018/6/12,21.92,19.5586,19.7409,21.4206,22.649,33.4947,37.1176,8.6294,41.6502,43.3516
2018/6/11,21.7295,19.3084,19.6215,21.2305,22.3656,32.4964,36.5208,8.5849,41.4455,43.001
2018/6/8,21.852,20.6186,19.8387,21.2749,22.0406,35.1479,37.4544,8.5751,44.9599,50.8447
2018/6/7,22.1246,20.7933,20.1704,21.561,22.2178,35.4943,37.6554,8.744,45.2826,51.294
2018/6/6,22.3288,20.8064,20.1271,21.6957,22.3879,35.7931,38.136,8.6961,45.649,51.6904
2018/6/5,22.2102,20.7895,20.0086,21.6125,22.4189,35.822,37.8634,8.7588,45.6942,51.7878
2018/6/4,22.1464,21.1002,19.7404,21.4082,22.1699,35.4379,36.815,8.7323,44.3302,50.8958
2018/6/1,22.1782,21.0765,19.6834,21.4688,22.111,34.6874,36.9305,8.6254,44.3757,50.7695
2018/5/31,22.2958,21.0474,19.7719,21.6367,22.3449,35.2483,38.1395,8.6394,44.9808,51.1147
2018/5/30,21.9576,20.5885,19.5149,21.3967,21.7166,34.1437,37.18,8.5407,44.4738,50.6091
2018/5/29,22.4489,21.2136,20.128,22.0832,22.156,34.1285,37.8727,8.7628,46.0462,52.4973
2018/5/28,22.4838,21.2504,20.2536,22.1674,22.2401,34.4817,39.2136,8.8091,46.2485,53.0248
2018/5/25,22.7259,21.3343,20.4633,22.3129,22.1817,33.5265,38.8684,8.8228,46.579,53.1514
2018/5/24,22.7045,21.548,20.7321,22.4713,22.2061,33.353,38.6529,8.8531,47.6333,54.3135
2018/5/23,22.8282,21.5598,20.785,22.5965,22.3443,33.6539,38.4814,8.9215,48.0626,54.3989
2018/5/22,22.5687,22.4668,21.2177,22.8446,22.5186,34.2044,38.6453,9.0554,48.5467,55.1123
2018/5/21,22.4865,22.4694,21.2678,22.8679,22.5343,33.905,37.9525,9.1496,48.4383,54.6441
2018/5/18,22.3225,22.5765,20.9967,22.6272,22.3481,33.9604,37.8513,9.1449,47.3882,53.2789
2018/5/17,22.2,21.3801,20.8563,22.5427,22.2198,33.6789,37.8187,9.0232,47.3796,53.099
2018/5/16,22.2751,21.2885,20.8333,22.7004,22.3959,34.1359,38.373,9.0569,47.6214,53.5147
2018/5/15,22.2553,21.4768,21.0025,22.834,22.4881,34.0045,37.9447,9.1918,48.1194,53.9653
2018/5/14,21.9764,21.4721,20.8784,22.6687,22.3288,33.7075,37.1759,9.2031,47.5296,53.5887
2018/5/11,21.9753,21.5682,20.9174,22.7123,22.2127,33.1069,37.1798,9.1567,47.5699,53.4678
2018/5/10,22.041,21.6002,20.8968,22.8528,22.3248,33.1965,38.0339,9.1414,48.3521,54.1357
2018/5/9,22.0408,21.3421,20.8254,22.8039,22.1944,32.7744,37.2827,9.121,48.4702,54.2326
2018/5/8,22.0578,21.1703,20.8664,22.8275,22.2009,32.8448,37.2392,9.139,48.5908,54.4777
2018/5/7,22.0271,21.2034,20.7627,22.6589,21.9363,32.4834,37.3265,9.0056,48.2406,54.1419
2018/5/4,21.8863,20.7366,20.3747,22.3718,21.6185,31.3416,36.5443,8.9164,47.3758,53.5687
2018/5/3,21.8061,20.7415,20.3907,22.4401,21.7136,31.399,36.0653,8.9886,47.7979,53.7119
2018/5/2,21.7079,20.4933,20.2994,22.2778,21.4979,31.0023,36.1281,8.963,46.836,53.0041
2018/4/27,21.8302,21.0845,20.7745,22.629,21.4645,32.3957,36.2727,9.0144,47.0396,48.6124
2018/4/26,22.1143,21.1537,21.4813,22.5987,21.4024,33.2028,35.9117,9.0647,46.9795,47.7308
2018/4/25,22.3592,21.5068,22.0235,22.9951,22.1666,34.1703,36.9405,9.1834,48.4044,48.7685
2018/4/24,22.5341,21.7289,22.42,23.0177,22.1925,33.0029,36.4973,9.2807,46.8916,48.1715
2018/4/23,22.3454,21.4071,22.0212,22.599,21.7621,32.343,35.844,9.1222,45.2038,47.5244
2018/4/20,22.3596,21.4442,22.2708,22.7834,21.9175,32.4763,36.379,9.0619,46.414,48.637
2018/4/19,22.8879,21.711,23.1592,22.9601,22.275,32.6011,36.9027,9.1706,47.5083,49.6295
2018/4/18,22.8931,21.4237,22.8743,22.891,22.0308,31.8975,36.6915,9.1221,47.5475,49.7065
2018/4/17,22.7941,21.0438,22.8138,22.7165,22.1107,32.0309,36.4577,9.0312,46.3093,49.7149
2018/4/16,22.9699,21.2535,23.3057,23.1888,22.5986,32.6166,37.449,9.0931,48.1884,50.9324
2018/4/13,23.0169,21.5871,23.5491,23.2808,22.7227,31.9457,37.6462,9.3707,47.7164,50.9334
2018/4/12,23.1387,21.791,23.6551,23.2937,22.8918,32.289,38.3524,9.4524,47.4703,51.1048
2018/4/11,23.2843,21.8312,23.9877,23.6122,23.0397,32.5896,38.1147,9.5834,47.5345,51.7335
2018/4/10,23.3188,21.671,24.0146,23.5045,22.9881,32.4611,38.1389,9.5053,47.2841,51.3218
2018/4/9,23.16,21.246,24.0702,23.4149,22.763,32.3011,37.8398,9.221,47.2184,51.0434
2018/4/4,23.1638,21.1083,23.9759,23.3965,22.9059,32.5018,37.7649,9.2011,43.7195,50.8033
2018/4/3,23.2356,21.1684,24.1664,23.5314,22.9154,31.7112,37.8764,9.2449,44.6068,51.5738
2018/4/2,23.6671,21.4544,24.6053,23.7107,23.1218,31.5986,37.9086,9.3097,45.1639,52.102
2018/3/30,23.876,21.4978,24.2864,23.6483,23.4015,31.452,38.0813,9.3984,45.0904,51.7625
2018/3/29,23.1977,21.7908,24.4412,23.9512,23.352,31.5542,37.0266,9.4558,43.8188,50.7877
